case_id,total_parcels,total_landowners,total_land_area,missing_doc_pct,survey_completed_pct,ownership_disputes_count,court_cases_count,pending_approvals_count,compensation_progress_pct,bank_verification_pct,open_grievances_count,avg_dept_response_days,environmental_clearance,rehabilitation_required,district_delay_rate,overdue_tasks_count,days_remaining,delay_probability,delayed_binary,delayed_days,risk_level
1,7,21,6.97,12.6,97.7,0,0,1,19.0,31.2,5,10.9,1,1,37.8,1,91,0.537,1,103,Medium
2,15,15,50.41,20.3,85.3,0,0,0,79.7,82.4,3,3.1,1,0,21.1,0,71,0.321,0,5,Low
3,11,11,27.44,43.2,92.2,0,0,0,38.1,45.8,1,14.0,1,0,33.4,2,113,0.502,1,100,Medium
4,8,8,13.11,60.4,76.1,0,0,2,20.2,26.7,1,26.0,1,0,33.0,1,177,0.722,1,118,High
5,7,14,21.5,39.9,71.7,1,1,2,57.8,54.1,3,14.6,1,0,30.2,1,289,0.907,1,179,High
6,19,38,32.98,17.9,74.0,2,0,0,92.5,69.1,4,15.7,1,1,22.8,3,291,0.764,1,215,High
7,11,22,32.31,13.4,92.5,0,1,1,91.8,69.1,2,7.4,1,0,47.0,2,40,0.516,1,120,Medium
8,11,33,23.42,18.3,80.6,1,1,0,32.5,10.5,2,8.9,1,0,34.7,1,70,0.802,1,166,High
9,4,4,15.39,14.2,58.1,0,0,0,74.8,58.4,0,10.7,1,0,48.5,0,45,0.374,0,6,Low
10,8,24,30.69,24.7,85.8,0,0,0,12.7,38.1,2,10.4,1,0,49.3,3,44,0.478,1,122,Medium
11,3,6,7.7,18.2,71.6,0,1,1,21.9,0.0,0,14.1,1,0,27.5,0,38,0.708,1,105,High
12,2,6,4.2,22.8,70.0,0,1,0,55.0,77.2,1,24.6,1,1,34.7,0,110,0.618,1,115,Medium
13,12,12,25.7,18.1,78.2,1,0,0,30.6,14.8,0,10.5,1,1,45.2,2,172,0.776,1,166,High
14,6,6,22.69,4.0,96.8,0,0,0,81.8,61.5,0,21.6,1,0,37.5,0,135,0.194,0,3,Low
15,2,4,4.03,40.9,96.8,2,0,0,93.8,100.0,0,11.5,1,0,49.9,1,168,0.647,1,166,Medium
16,1,2,1.57,36.1,91.8,1,0,1,10.4,29.4,2,4.7,1,0,40.0,0,96,0.686,1,126,Medium
17,12,36,13.36,22.3,85.0,1,0,0,31.0,6.6,2,12.3,1,1,42.0,1,291,0.654,1,124,Medium
18,12,24,30.32,40.7,82.3,3,0,2,49.6,48.3,1,12.9,0,0,47.5,3,140,0.98,1,265,High
19,17,34,43.93,9.9,64.4,3,2,0,60.7,78.5,1,4.8,1,0,24.3,2,298,0.98,1,246,High
20,10,10,39.11,55.2,84.4,1,1,0,92.4,100.0,5,23.1,1,0,40.4,0,138,0.611,1,132,Medium
21,16,32,25.9,48.4,72.6,0,0,0,90.3,67.1,0,16.0,1,1,23.0,0,95,0.49,1,66,Medium
22,15,30,33.15,25.4,60.9,0,0,0,67.3,64.2,1,19.4,1,0,29.1,3,293,0.467,1,132,Medium
23,15,15,56.87,16.6,76.7,1,0,0,33.2,9.1,1,20.0,1,1,27.4,1,195,0.739,1,170,High
24,19,19,73.1,45.2,57.7,0,0,0,80.5,86.1,3,6.4,1,0,39.8,0,176,0.284,0,1,Low
25,12,36,26.68,8.8,56.6,3,0,2,28.2,30.7,0,20.1,1,1,49.5,1,26,0.98,1,240,High
26,3,6,7.5,30.6,63.0,0,0,1,96.9,100.0,5,3.7,0,0,24.6,0,144,0.558,1,106,Medium
27,5,5,9.61,11.1,89.1,0,0,2,10.5,0.0,0,11.9,1,0,46.9,0,295,0.541,1,102,Medium
28,19,57,80.76,48.4,59.6,0,0,0,61.3,50.8,0,8.7,1,0,25.0,1,139,0.488,1,105,Medium
29,7,21,8.67,5.2,50.0,2,2,1,18.0,32.8,0,4.9,1,0,26.6,0,186,0.98,1,217,High
30,9,18,38.29,31.9,77.0,0,2,0,46.7,62.2,0,15.6,1,0,52.1,0,148,0.771,1,124,High
31,7,14,23.31,16.1,83.0,0,0,1,67.1,92.2,1,16.9,1,0,20.3,1,53,0.357,0,2,Low
32,18,54,49.8,39.0,67.0,0,0,4,72.1,93.4,1,6.2,0,1,26.9,2,192,0.953,1,201,High
33,4,4,3.68,19.8,65.1,0,0,2,80.7,56.0,0,11.5,1,1,27.5,1,294,0.596,1,82,Medium
34,14,42,35.84,29.8,80.3,0,0,0,63.4,81.8,1,15.2,1,0,29.9,0,19,0.337,0,12,Low
35,18,36,41.56,34.1,77.7,0,1,0,32.6,32.1,2,2.2,1,0,32.7,1,68,0.697,1,116,Medium
36,9,9,12.57,26.2,50.4,0,0,0,90.0,100.0,2,16.6,1,0,23.6,1,280,0.261,0,13,Low
37,2,2,6.46,20.5,82.1,0,0,0,83.0,77.9,1,5.6,1,1,36.4,1,96,0.389,0,6,Low
38,15,45,65.9,41.5,69.9,3,0,0,24.4,10.7,4,5.8,1,1,34.0,0,235,0.926,1,215,High
39,7,14,20.16,36.3,70.6,4,2,0,84.4,80.1,1,16.4,1,0,41.9,0,255,0.98,1,237,High
40,12,36,41.34,24.2,66.9,0,0,0,97.5,98.5,0,5.5,1,1,50.4,1,108,0.499,1,96,Medium
41,8,24,8.43,30.5,86.8,0,0,1,67.3,71.7,0,20.2,1,0,30.4,0,83,0.292,0,10,Low
42,15,45,35.18,13.6,83.7,0,2,1,35.4,50.0,0,9.9,1,0,39.1,0,20,0.751,1,113,High
43,3,3,3.69,28.9,74.4,4,0,2,64.6,49.0,1,8.1,0,0,33.0,0,220,0.98,1,232,High
44,14,14,42.94,20.3,92.9,0,0,0,40.8,23.9,3,18.1,0,0,21.4,0,30,0.439,0,2,Medium
45,17,34,72.63,16.8,98.2,0,0,0,70.8,46.4,2,11.6,1,0,48.7,0,74,0.298,0,7,Low
46,4,8,12.99,24.5,81.4,0,1,1,59.0,55.7,0,12.5,1,0,42.2,2,156,0.7,1,122,Medium
47,18,54,19.52,13.8,82.7,0,1,1,93.7,80.6,1,5.0,1,0,20.1,1,220,0.529,1,115,Medium
48,8,24,16.9,53.3,88.2,0,0,0,65.6,60.6,1,31.7,1,1,28.7,0,54,0.428,0,9,Medium
49,4,12,11.35,8.7,86.9,1,0,2,29.3,29.7,5,26.9,1,0,30.8,2,23,0.71,1,151,High
50,2,4,4.58,47.2,75.7,1,0,0,75.3,48.6,0,11.9,1,0,48.4,1,105,0.541,1,136,Medium
51,6,6,23.31,10.8,88.6,1,0,0,37.1,28.8,1,9.0,1,1,46.6,0,209,0.639,1,119,Medium
52,10,10,38.14,55.0,71.4,0,0,1,34.5,39.9,5,14.6,1,1,33.9,1,216,0.653,1,111,Medium
53,4,12,12.26,8.4,94.4,2,0,0,45.3,46.3,4,3.9,1,0,25.5,0,62,0.571,1,135,Medium
54,18,54,39.27,16.1,83.0,0,0,1,11.1,5.5,0,13.7,0,0,33.5,0,280,0.736,1,97,High
55,12,36,20.94,59.4,96.1,0,2,0,97.2,96.7,0,1.6,1,0,48.4,2,259,0.808,1,155,High
56,2,6,2.38,74.8,46.5,1,0,0,57.9,53.8,1,9.5,1,1,35.8,1,276,0.762,1,161,High
57,10,20,21.13,31.1,80.7,2,0,3,79.6,64.7,2,5.2,1,0,24.1,0,45,0.753,1,181,High
58,4,4,9.31,39.5,83.0,0,0,0,33.2,15.7,0,16.6,1,1,21.3,0,276,0.54,1,71,Medium
59,14,42,46.21,36.9,55.5,0,0,1,77.2,100.0,3,7.8,1,0,31.7,0,48,0.402,0,5,Medium
60,16,32,51.76,14.0,59.5,0,0,0,61.0,70.4,0,4.7,1,0,25.2,4,259,0.548,1,144,Medium
61,15,45,15.89,27.2,58.2,2,0,1,48.2,64.4,1,20.4,1,0,46.1,0,282,0.775,1,160,High
62,8,24,18.1,31.9,57.1,0,1,0,97.4,100.0,1,57.0,1,0,29.8,1,225,0.605,1,121,Medium
63,14,14,20.62,3.6,73.5,0,2,2,54.4,75.3,0,10.8,1,0,50.7,0,149,0.762,1,140,High
64,8,24,11.04,36.7,94.2,0,0,1,69.2,77.8,0,14.5,1,0,41.6,0,78,0.396,0,7,Low
